"","id","X","MAXAvg","MINAvg","RainAvg","Date","Time","RunDate","Metabolites.Conc","RankProp","Sex","Group.1","Coping","SWDIgr","Strg","Deg"
"55","bz",55,32.9,10.85,0,"2019-03-06","08:40:00","9-Nov",179.868476,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"56","bz",56,27.1,8.6,0,"2018-12-19","10:02:00","4-Dec",228.4169237,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"57","bz",57,30.1,9.75,0,"2019-01-22","08:39:00","6-Dec",66.30285801,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"58","bz",58,35.05,11.85,0,"2019-03-27","11:59:00","11-Nov",138.5608049,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"59","bz",59,31.55,14.35,0,"2018-09-20","08:05:00","17-Nov",97.29518855,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"60","bz",60,30.35,9,0,"2019-01-19","07:55:00","6-Dec",73.93017261,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"61","bz",61,23.75,15.85,0,"2018-10-25","08:30:00","19-Nov",43.86043725,-0.612372436,"M","S",-0.764303682,0.669661512138735,10.8676671304627,2
"62","cb",62,30.15,8.6,0,"2019-01-21","10:19:00","6-Dec",86.54727192,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"63","cb",63,28.7,9.3,0,"2019-01-04","09:42:00","7-Dec",158.9405263,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"64","cb",64,33.8,14.85,0,"2018-09-09","08:16:00","11-Dec",165.461735,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"65","cb",65,27.75,15.85,0,"2019-02-27","08:52:00","15-Dec",204.15625,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"66","cb",66,26.75,17.4,4.55,"2018-10-30","08:40:00","9-Dec",68.62064878,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"67","cb",67,32.9,11,0,"2019-04-01","10:10:00","13-Dec",89.16634852,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"68","cb",68,27.6,13.75,7.05,"2018-12-07","09:47:00","8-Dec",192.435095,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"69","cb",69,32.05,8.1,0,"2019-03-11","08:55:00","14-Dec",225.0742388,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"70","cb",70,28.25,13.7,6.6,"2018-12-13","08:57:00","8-Dec",87.0286737,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"71","cb",71,27.35,12.3,0,"2018-11-23","09:04:00","9-Dec",144.5866988,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"72","cb",72,28.215,11.85,1.143,"2018-09-02","11:25:00","11-Dec",386.9324051,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"73","cb",73,31.5,17.05,0,"2018-09-28","09:19:00","10-Dec",173.4327048,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"74","cb",74,29.7,10.65,0,"2019-01-12","08:43:00","7-Dec",89.04638048,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"75","cb",75,27.6,16.5,0,"2018-10-26","09:00:00","9-Dec",88.23193083,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"76","cb",76,29.43,13.095,0.508,"2018-08-21","11:55:00","12-Dec",283.7159837,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"77","cb",77,32.2,7.75,0,"2019-03-14","08:50:00","13-Dec",211.2503164,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"78","cb",78,27.8,10.9,0,"2018-12-20","10:25:00","8-Dec",97.28313769,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"79","cb",79,28.55,12.45,0,"2018-11-30","11:49:00","8-Dec",176.5331716,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"80","cb",80,32.4,7.9,0,"2019-03-03","08:40:00","14-Dec",139.3306637,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"81","cb",81,31.3,16.5,0,"2018-10-12","08:49:00","10-Dec",68.61479334,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"82","cb",82,33.85,9.5,0,"2019-03-18","10:02:00","13-Dec",91.79605173,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
"83","cb",83,30.75,7.4,0,"2019-01-31","09:53:00","1-Oct",176.0700099,1.095445115,"F","K",0.356321309,1.66113540450601,19.0559186560227,7
